"Date","Product","Units Sold","Revenue"
"2022-09-23","bag",34,1764.53
"2022-09-27","level",95,827.15
"2022-11-23","produce",67,779.53
"2023-04-03","short",89,1868.39
"2023-09-14","mouth",28,730.07
"2023-04-18","suggest",78,306.89
"2023-03-22","paper",83,1558.26
"2022-12-11","amount",57,1964.5
"2022-10-22","maintain",69,1644.43
"2023-08-25","blue",52,270.57
"2023-06-11","chance",58,337.94
"2023-06-02","bar",23,263.48
"2023-05-02","common",73,727.01
"2023-03-03","significant",48,468.86
"2022-10-06","forward",16,819.09
"2023-07-18","manage",86,846.5
"2022-11-23","happen",88,463.52
"2023-01-02","have",48,1969.0
"2023-01-11","beyond",93,1411.69
"2022-10-12","option",89,1657.56
"2023-06-10","issue",14,421.49
"2023-09-12","picture",96,996.72
"2023-07-08","new",49,298.34
"2023-07-28","full",16,1721.11
"2023-01-18","growth",51,1886.56
"2023-08-04","with",62,602.12
"2023-07-15","pass",6,1678.01
"2023-03-17","mean",31,154.85
"2022-11-11","story",15,1116.86
"2023-02-27","effort",1,177.19
"2023-05-20","win",7,528.88
"2023-01-14","and",2,1799.08
"2022-12-08","Congress",48,1667.09
"2023-04-03","this",30,1384.15
"2022-11-14","day",73,364.33
"2023-09-15","ago",10,455.77
"2022-11-21","street",87,755.35
"2023-05-01","simple",24,1102.77
"2022-09-19","many",39,533.55
"2022-12-08","drop",58,1251.43
"2023-05-19","name",53,256.0
"2022-10-09","take",83,1863.77
"2022-12-21","listen",53,1938.77
"2022-11-23","several",49,1659.12
"2023-05-26","affect",75,1161.97
"2023-04-21","learn",23,654.08
"2023-04-09","move",77,1841.71
"2023-05-05","add",21,1710.39
"2023-06-04","dream",24,1250.76
"2022-11-02","collection",2,1670.06
"2023-08-25","leader",97,1014.34
"2022-12-17","indeed",31,238.25
"2023-01-20","seek",79,1847.32
"2023-08-30","situation",16,115.86
"2023-05-03","interesting",78,1471.75
"2023-01-25","major",45,1847.13
"2023-07-13","never",81,108.33
"2023-07-01","sure",43,941.89
"2022-12-08","thus",9,233.73
"2022-11-06","above",31,1238.07
"2023-03-07","miss",79,585.28
"2023-06-20","these",30,699.44
"2023-04-22","author",26,1081.87
"2023-04-14","what",95,602.88
"2023-05-14","western",63,1088.73
"2023-01-06","since",39,323.28
"2022-11-26","herself",57,1372.47
"2022-12-02","skin",41,1812.96
"2023-02-12","catch",57,315.89
"2023-05-07","short",84,694.06
"2023-02-20","rise",77,399.86
"2022-09-23","together",54,560.78
"2022-10-20","many",16,1927.07
"2023-05-26","treatment",85,1284.82
"2023-06-07","matter",83,1691.84
"2022-10-12","carry",11,1441.6
"2023-02-17","ago",88,235.41
"2023-08-05","newspaper",93,1073.15
"2023-03-05","task",86,226.55
"2022-10-12","fire",53,381.06
"2023-02-21","land",28,99.06
"2023-04-30","give",82,34.69
"2023-05-08","body",3,1030.18
"2023-07-11","image",86,1499.84
"2022-11-19","itself",50,1031.4
"2023-08-19","near",65,144.78
"2022-12-12","trip",61,1996.65
"2022-12-25","idea",77,786.2
"2023-03-26","party",25,630.89
"2023-06-16","most",11,692.85
"2023-03-01","provide",15,521.57
"2022-12-11","increase",82,967.5
"2023-02-09","page",9,1435.22
"2022-10-29","popular",64,81.88
"2023-01-28","past",31,1237.1
"2023-06-13","rather",97,1913.37
"2023-09-11","fine",3,1478.73
"2023-07-07","debate",67,172.33
"2022-11-06","describe",7,807.83
"2023-02-27","partner",87,215.35
